,repo_name,repo_owner,git_url,description,size,watchers_count,forks_count,open_issues
197,qdyn,ydluo,https://github.com/ydluo/qdyn,A Quasi-DYNamic earthquake simulator,38489,24,10,4
198,BLAS-Tester,xianyi,https://github.com/xianyi/BLAS-Tester,a tester for BLAS libraries including OpenBLAS and Intel MKL. This project is based on ATLAS BLAS Tester,285,23,9,3
199,fortran-compiler-tests,nncarlson,https://github.com/nncarlson/fortran-compiler-tests,A collection of Fortran compiler bug examples and tests,224,23,4,2
200,EMsoft,EMsoft-org,https://github.com/EMsoft-org/EMsoft,Public EMsoft repository,146460,23,31,10
201,fabm,fabm-model,https://github.com/fabm-model/fabm,The Framework for Aquatic Biogeochemical Models (FABM): a Fortran 2003 programming framework for biogeochemical models of marine and freshwater systems.,17858,23,20,4
202,ALaDyn,ALaDyn,https://github.com/ALaDyn/ALaDyn,A High-Accuracy PIC Code for the Maxwell-Vlasov Equations,5728,23,13,9
203,letkf,takemasa-miyoshi,https://github.com/takemasa-miyoshi/letkf,Automatically exported from code.google.com/p/miyoshi,13038,23,17,0
204,hrldas-release,NCAR,https://github.com/NCAR/hrldas-release,HRLDAS (High Resolution Land Data Assimilation System) containing the Noah-MP Land Surface Model,1947,23,29,10
205,mumps,scivision,https://github.com/scivision/mumps,MUMPS solver built with CMake or Meson,18386,23,3,0
206,eddypro-engine,LI-COR,https://github.com/LI-COR/eddypro-engine,EddyPro Engine,18157,23,10,1
207,wignerSymbols,joeydumont,https://github.com/joeydumont/wignerSymbols,A C++ library to compute the Wigner 3j- and 6j- symbols (with FORTRAN backend).,79,23,10,2
208,bayesR,syntheke,https://github.com/syntheke/bayesR,Bayesian hierarchical model for complex trait analysis,9613,22,17,0
209,SPHERA,AndreaAmicarelliRSE,https://github.com/AndreaAmicarelliRSE/SPHERA,"SPHERA (RSE SpA): Smoothed Particle Hydrodynamics Computational Fluid Dynamics research code. Applications: floods (with transport of solid bodies, bed-load transport, damage on electrical substations, flood-control works); fast landslides (in rocks and soils) and wave motion; hydroelectric plants; fuel sloshing tanks.",83237,22,31,0
210,go-lbfgsb,afbarnard,https://github.com/afbarnard/go-lbfgsb,"L-BFGS-B optimization for Go, C, Fortran 2003",159,22,4,3
211,modern-fortran,dvalters,https://github.com/dvalters/modern-fortran,Notes and code from the Fortran Modernisation workshop ,3586,22,3,0
212,swb,smwesten-usgs,https://github.com/smwesten-usgs/swb,Soil-Water-Balance: A Modified Thornthwaite-Mather Soil-Water-Balance Code for Estimating Groundwater Recharge.,231219,22,9,9
213,fortrangis,dcesari,https://github.com/dcesari/fortrangis,A collection of Fortran interfaces to the most common Open Source GIS libraries.,221,22,8,1
214,fmetis,ivan-pi,https://github.com/ivan-pi/fmetis,A modern Fortran interface to the METIS graph partitioning library,999,22,4,2
215,LATTE,lanl,https://github.com/lanl/LATTE,Developer repository for the LATTE code,9174,22,15,17
216,molgw,bruneval,https://github.com/bruneval/molgw,Accurate many-body perturbation theory calculations of the electronic structure of molecules,8050,22,14,0
217,ABAQUS,WeilinDeng,https://github.com/WeilinDeng/ABAQUS,ABAQUS subroutines,332,21,25,0
218,openspecfun,JuliaMath,https://github.com/JuliaMath/openspecfun,A collection of special mathematical functions,203,21,14,4
219,axisem,geodynamics,https://github.com/geodynamics/axisem,"AxiSEM is a parallel spectral-element method to solve 3D wave propagation in a sphere with axisymmetric or spherically symmetric visco-elastic, acoustic, anisotropic structures.",69042,21,23,25
220,fem-basic,nqomorita,https://github.com/nqomorita/fem-basic,,30,21,1,0
221,qp2,QuantumPackage,https://github.com/QuantumPackage/qp2,Quantum Package : a programming environment for wave function methods,20004,21,9,0
222,xfoil-python,DARcorporation,https://github.com/DARcorporation/xfoil-python,Stripped down version of XFOIL as compiled python module,4894,21,13,6
223,OceanWave3D-Fortran90,apengsigkarup,https://github.com/apengsigkarup/OceanWave3D-Fortran90,OceanWave3D - a very efficient coastal engineering research tool used worldwide for simulation of nonlinear and dispersive free surface waves in varying batheymetries from very deep to shallow water. Learn more about the model: ,29809,21,16,2
224,CliMT-legacy,rodrigo-caballero,https://github.com/rodrigo-caballero/CliMT-legacy,Climate modelling and diagnostics toolkit,24156,21,8,3
225,pikaia,jacobwilliams,https://github.com/jacobwilliams/pikaia,Modern Fortran Edition of the Pikaia Genetic Algorithm ,890,21,8,3
226,HORSES2D,horsescfd,https://github.com/horsescfd/HORSES2D,Two dimensional high-order spectral element method fluid dynamics solver,1228,21,9,0
227,PyBDSF,lofar-astron,https://github.com/lofar-astron/PyBDSF,Python Blob Detector and Source Finder,8405,21,12,25
228,w2dynamics,w2dynamics,https://github.com/w2dynamics/w2dynamics,A continuous-time hybridization-expansion Monte Carlo code for calculating n-particle Green's functions of the Anderson impurity model and within dynamical mean-field theory.,464,21,10,3
229,FACE,szaghi,https://github.com/szaghi/FACE,Fortran Ansi Colors (and Styles) Environment,763,21,9,0
230,nwchem-git-svn-deprecated,jeffhammond,https://github.com/jeffhammond/nwchem-git-svn-deprecated,This is obsolete.  Use this:,304897,21,6,5
231,auto-07p,auto-07p,https://github.com/auto-07p/auto-07p,AUTO is a publicly available software for continuation and bifurcation problems in ordinary differential equations originally written in 1980 and widely used in the dynamical systems community.,6626,21,12,2
232,cubep3m,jharno,https://github.com/jharno/cubep3m,cosmological n-body code,12977,21,7,0
233,rte-rrtmgp,RobertPincus,https://github.com/RobertPincus/rte-rrtmgp,RTE+RRTMGP is a set of codes for computing radiative fluxes in planetary atmospheres.,106303,21,22,6
234,ExactPack,lanl,https://github.com/lanl/ExactPack,ExactPack: An Open-Source Software Package for Code Verification,748,20,7,0
235,MAD-X,MethodicalAcceleratorDesign,https://github.com/MethodicalAcceleratorDesign/MAD-X,Legacy MAD-X repository,157368,20,22,30
236,minpack,certik,https://github.com/certik/minpack,Library for solving nonlinear equations and nonlinear least squares problems,267,20,5,0
237,amrclaw,clawpack,https://github.com/clawpack/amrclaw,AMR version of Clawpack,4979,20,40,52
238,forbear,szaghi,https://github.com/szaghi/forbear,Fortran (progress) B(e)ar envinronment,1558,20,2,2
239,kiwi,emolch,https://github.com/emolch/kiwi,Kinematic Waveform Inversion Toolkit,753,20,9,8
240,TLNS3D,nasa,https://github.com/nasa/TLNS3D,,8067,20,18,0
241,amrvac,amrvac,https://github.com/amrvac/amrvac,MPI-AMRVAC: A Parallel Adaptive Mesh Refinement Framework,62371,20,13,8
242,SMOKE,CEMPD,https://github.com/CEMPD/SMOKE,Create emissions inputs for multiple air quality modeling systems with unmatched speed and flexibility,21103,20,12,5
243,UppASD,UppASD,https://github.com/UppASD/UppASD,The UppASD package is a simulation tool for atomistic spin dynamics and Monte Carlo simulations of Heisenberg spin systems. ,11603,20,10,3
244,asgs,jasonfleming,https://github.com/jasonfleming/asgs,"The ADCIRC Surge Guidance System (ASGS) provides software infrastructure for automating ADCIRC for real time or operational deployments, as well as a variety of tools for pre- and post-processing ADCIRC data.",132846,20,14,83
245,pynucastro,pynucastro,https://github.com/pynucastro/pynucastro,python interfaces to the nuclear reaction rate databases,20247,20,9,40
246,FSM,RichardEssery,https://github.com/RichardEssery/FSM,Factorial Snow Model - a multi-physics energy balance model of accumulation and melt of snow on the ground,868,20,6,2
247,MCT,MCSclimate,https://github.com/MCSclimate/MCT,Model Coupling Tookit,2446,20,9,27
248,olcao,UMKC-CPG,https://github.com/UMKC-CPG/olcao,The Orthogonalized Linear Combination of Atomic Orbitals package.,24374,20,14,0
249,cgfd-lab,dongli,https://github.com/dongli/cgfd-lab,This is a repository for storing some demonstration for teaching computational geophysical fluid dynamics..,82,20,7,0
250,imf_ess,dchirila,https://github.com/dchirila/imf_ess,"Source-code for book ""Introduction to Modern Fortran for the Earth System Sciences""",62528,20,12,0
251,lotsofcoresbook1code,ryancoleman,https://github.com/ryancoleman/lotsofcoresbook1code,"Code repo for lotsofcores.com book 1, here since dropbox doesn't work for everyone",67149,20,10,0
252,akima,andrewning,https://github.com/andrewning/akima,1D Akima spline interpolation with derivatives,176,20,7,1
253,HOS-NWT,LHEEA,https://github.com/LHEEA/HOS-NWT,Numerical Wave Tank based on High-Order Spectral method,503,20,12,4
254,GeoMACH,hwangjt,https://github.com/hwangjt/GeoMACH,,47635,20,26,1
255,code,gotm-model,https://github.com/gotm-model/code,Source code for the General Ocean Turbulence Model,8715,20,15,3
256,fortpy,rosenbrockc,https://github.com/rosenbrockc/fortpy,Python Emacs Intellisense and Unit Testing Support for Fortran,1856,20,5,39
257,CxxPolyFit,LLNL,https://github.com/LLNL/CxxPolyFit,A simple library for producing multidimensional polynomial fits for C++,2203,20,6,0
258,arrayfire-fortran,arrayfire,https://github.com/arrayfire/arrayfire-fortran,Fortran wrapper for ArrayFire,33,19,5,4
259,euler2d_cudaFortran,pkestene,https://github.com/pkestene/euler2d_cudaFortran,2nd order Godunov solver for 2d Euler equations written in CUDA Fortran - Deprecated - see instead https://github.com/pkestene/euler2d_kokkos,38,19,6,0
260,config_fortran,jannisteunissen,https://github.com/jannisteunissen/config_fortran,Configuration file parser for Fortran,87,19,3,1
261,rng_fortran,jannisteunissen,https://github.com/jannisteunissen/rng_fortran,"Pseudo random number generator in Fortran, internally using xoroshiro128+",22,19,1,0
262,fhash,jl2922,https://github.com/jl2922/fhash,Fast hash map implementation in fortran,23,19,4,0
263,DiffuseCode,tproffen,https://github.com/tproffen/DiffuseCode,Suite of programs to simulate disordered and nanomaterials,60225,19,14,2
264,benchmark-leapfrog,marblestation,https://github.com/marblestation/benchmark-leapfrog,,32,19,12,1
265,WOFOST,ajwdewit,https://github.com/ajwdewit/WOFOST,FORTRAN version of the WOrld FOod STudies (WOFOST) crop simulation model.,4795,19,21,0
266,hopr,flexi-framework,https://github.com/flexi-framework/hopr,HOPR is an open-source tool for the generation of three-dimensional unstructured high-order meshes.,11300,19,10,3
267,NormalModes,js1019,https://github.com/js1019/NormalModes,Normal Modes at Planetary Scales,133318,19,5,1
268,Nbody6ppGPU,nbodyx,https://github.com/nbodyx/Nbody6ppGPU,Nbody6++GPU,5320,19,10,1
269,SWAT,WatershedModels,https://github.com/WatershedModels/SWAT,Compile SWAT model from FORTRAN source code using CMAKE,5680,19,9,0
270,TAL_SH,DmitryLyakh,https://github.com/DmitryLyakh/TAL_SH,Tensor Algebra Library Routines for Shared Memory Systems,1191,19,9,0
271,feappv,sanjayg0,https://github.com/sanjayg0/feappv,FEAPpv -- free personal version of the FEAP,14482,19,16,0
272,regex-fortran,sage-git,https://github.com/sage-git/regex-fortran,Fortran wrapper for regex.h,5,19,1,0
273,ESP-rSource,ESP-rCommunity,https://github.com/ESP-rCommunity/ESP-rSource,ESP-r source code ,81602,19,13,7
274,Futility,CASL,https://github.com/CASL/Futility,VERA Fortran Utilities,34115,19,12,13
275,nshmp-haz-fortran,usgs,https://github.com/usgs/nshmp-haz-fortran,National Seismic Hazard Mapping Project (NSHMP) Legacy Fortran Code,40723,18,11,0
276,jburkardt-f77,johannesgerer,https://github.com/johannesgerer/jburkardt-f77,An official Git Mirror of John Burkardt's great collection of FORTRAN 77 Software,23184,18,12,0
277,jagurs,jagurs-admin,https://github.com/jagurs-admin/jagurs,JAGURS is a tsunami simulation code solving linear/nonlinear long-wave/Boussinesq equations with/without effects of elastic deformation of the Earth due to tsunami load and vertical profile of seawater density stratification. This code was paralleled by using OpenMP and MPI. ,87342,18,8,2
278,spherepack,jlokimlin,https://github.com/jlokimlin/spherepack,Open source software to perform spherical harmonic transforms and compute spherical differential operators.,5259,18,5,6
279,IRI2016,space-physics,https://github.com/space-physics/IRI2016,International Reference Ionosphere 2016 from Python and Matlab,5646,18,8,1
280,fempar,fempar,https://github.com/fempar/fempar,Finite Element Multiphysics PARallel solvers. Official mirror from https://gitlab.com/fempar/fempar,24405,18,6,0
281,CommonModules,hornekyle,https://github.com/hornekyle/CommonModules,A collection of Fortran modules for scientific programs,2568,18,0,0
282,VASP_TDM,QijingZheng,https://github.com/QijingZheng/VASP_TDM,Transition Dipole Moments from VASP WAVECAR,12,18,14,6
283,daspy,daspy,https://github.com/daspy/daspy,Python Multivariate Land Data Assimilation System with High Performance Computing for CLM 4.5,250861,18,10,0
284,flibcpp,swig-fortran,https://github.com/swig-fortran/flibcpp,Fortran bindings to the C++ Standard Library.,337,18,0,0
285,XH5For,victorsndvg,https://github.com/victorsndvg/XH5For,XDMF parallel partitioned mesh I/O on top of HDF5,7533,18,2,1
286,NPY-for-Fortran,MRedies,https://github.com/MRedies/NPY-for-Fortran,A FORTRAN module to write Numpy's *.npy and *.npz files,18237,18,3,0
287,f2py-examples,scivision,https://github.com/scivision/f2py-examples,Examples of using f2py to get high-speed Fortran integrated with Python easily,55,18,5,0
288,Xoptfoil,montagdude,https://github.com/montagdude/Xoptfoil,Airfoil optimization with Xfoil,1414,18,11,0
289,pyHWM14,rilma,https://github.com/rilma/pyHWM14,Python interface for the Horizontal Wind Model 2014 (HWM14),2724,18,8,0
290,NICOLE,hsocasnavarro,https://github.com/hsocasnavarro/NICOLE,NLTE Stokes Synthesis/Inversion Code,29827,18,5,0
291,dftatom,certik,https://github.com/certik/dftatom,"Routines for Radial Integration of Dirac, Schrödinger, and Poisson Equations",355,18,10,9
292,general-purpose-fortran,urbanjost,https://github.com/urbanjost/general-purpose-fortran,General Purpose Fortran Cooperative,2209451,18,5,0
293,gFTL,Goddard-Fortran-Ecosystem,https://github.com/Goddard-Fortran-Ecosystem/gFTL,,270,18,2,7
294,py-design,PredictiveScienceLab,https://github.com/PredictiveScienceLab/py-design,Design of random experiments in Python,146,18,6,4
295,zofu,acroucher,https://github.com/acroucher/zofu,Zofu is Object-oriented Fortran Unit-testing,90,18,1,0
296,msise00,space-physics,https://github.com/space-physics/msise00,NRL MSISE-00 atmospheric model-- in Python and Matlab!,4525,18,11,5
297,thermochimica,ORNL-CEES,https://github.com/ORNL-CEES/thermochimica,"THERMOCHIMICA is a computational library for chemical thermodynamics. It determines a unique combination of phases and their compositions for a prescribed chemical composition, temperature and pressure. The solver and the underlying thermodynamic models can be used to estimate the chemical state and various constitutive and transport properties necessary for various materials and process models.",7583,18,7,0
298,FMM3D,flatironinstitute,https://github.com/flatironinstitute/FMM3D,"Flatiron Institute Fast Multipole Libraries --- This codebase is a set of libraries to compute N-body interactions governed by the Laplace and Helmholtz equations, to a specified precision, in three dimensions, on a multi-core shared-memory machine. ",18673,18,2,1
299,FURY,szaghi,https://github.com/szaghi/FURY,Fortran Units (environment) for Reliable phYsical math,16711,18,2,10
300,mathext,gonum,https://github.com/gonum/mathext,mathext implements basic elementary functions not included in the Go standard library [DEPRECATED],210,17,5,0
301,Nemoh,LHEEA,https://github.com/LHEEA/Nemoh,,35178,17,10,5
302,arpack,inducer,https://github.com/inducer/arpack,Distribution of ARPACK with various bug fixes,815,17,5,4
303,NBODY6,mtrenti,https://github.com/mtrenti/NBODY6,Sverre Aarseth's Direct N-body code project,1781,17,10,2
304,delphi,ml4ai,https://github.com/ml4ai/delphi,Framework for assembling causal probabilistic models from text and software.,51953,17,15,10
305,wrf,yyr,https://github.com/yyr/wrf,Release History of Weather Research and Forecast model (unofficial repo),66353,17,9,1
306,fortran_function_parser,jacobwilliams,https://github.com/jacobwilliams/fortran_function_parser,Modern Fortran Function Parser,23,17,1,1
307,Taxila-LBM,ecoon,https://github.com/ecoon/Taxila-LBM,Lattice Boltzmann code from LANL,3898,17,9,2
308,Rocstar-legacy,IllinoisRocstar,https://github.com/IllinoisRocstar/Rocstar-legacy,Rocstar multiphysics simulation application,4999297,17,13,6
309,Karaoke-Game-Android-App,ericcj24,https://github.com/ericcj24/Karaoke-Game-Android-App,This is a Android app using ndk and sdk packages,19440,17,2,3
310,BPEM,DwyaneChou,https://github.com/DwyaneChou/BPEM,A Barotropic Primitive Equation Model,141949,17,5,0
311,fmmlib3d,zgimbutas,https://github.com/zgimbutas/fmmlib3d,Fast Multipole Method (FMM) library in R^3,11269,17,7,5
312,wrf-model-cuda-sample,lydia-schiff,https://github.com/lydia-schiff/wrf-model-cuda-sample,"Numerical weather prediction code from the WRF model, translated from Fortran to CUDA-C. Too fast.",176,17,7,3
313,defmod-swpc,Chunfang,https://github.com/Chunfang/defmod-swpc,A code for fault rupture (defmod) and wave propagation (swpc).,31853,17,7,2
314,scipydirect,andim,https://github.com/andim/scipydirect,Python wrapper to the DIRECT global optimization algorithm with scipy.optimize compatible call syntax,99,17,6,2
315,colossalcaveadventure,videogamepreservation,https://github.com/videogamepreservation/colossalcaveadventure,Colossal Cave Adventure. Written in PDP-10 FORTRAN. Badass.,134,17,13,0
316,pfczm-abaqus,jianyingwu,https://github.com/jianyingwu/pfczm-abaqus,Implementation of the phase-field regularized cohesive zone model (PF-CZM) into ABAQUS.,4637,17,8,0
317,grasp,compas,https://github.com/compas/grasp,General Relativistic Atomic Structure Package,14562,17,15,20
318,LinkedList,degawa,https://github.com/degawa/LinkedList,Doubly Linked List for Fortran 2003.,152,17,0,1
319,FoXy,Fortran-FOSS-Programmers,https://github.com/Fortran-FOSS-Programmers/FoXy,Fortran XML parser for poor people,5923,17,4,3
320,afnl,ramos,https://github.com/ramos/afnl,A FORTRAN numerical library.,14176,17,6,0
321,zork-fortran,videogamepreservation,https://github.com/videogamepreservation/zork-fortran,Original Fortran source code for Zork,216,17,18,0
322,lookup_table_fortran,jannisteunissen,https://github.com/jannisteunissen/lookup_table_fortran,Linear lookup table implemented in modern Fortran,36,17,4,0
323,fortran-examples,Pjer-zhang,https://github.com/Pjer-zhang/fortran-examples,homeworks and useful examples,121,17,19,0
324,ForEx,victorsndvg,https://github.com/victorsndvg/ForEx,Fortran User Defined Exceptions Handler,34,16,4,0
325,fortran-linked-list,tomedunn,https://github.com/tomedunn/fortran-linked-list,Fortran module showing how to implement a linked-list in Fortran using unlimited polymorphic derived types.,116,16,1,1
326,FEST-3D,FEST3D,https://github.com/FEST3D/FEST-3D,The source code for Finite volume Explicit STructured 3Dimensional (FEST-3D) solver.,7063,16,5,4
327,ASKI,seismology-RUB,https://github.com/seismology-RUB/ASKI,ASKI main package: seismic Full Waveform Inversion and sensitivity analysis based on waveform sensitivity kernels,25181,16,19,0
328,pyspharm,jswhit,https://github.com/jswhit/pyspharm,Automatically exported from code.google.com/p/pyspharm,363,16,8,4
329,py-orthpol,PredictiveScienceLab,https://github.com/PredictiveScienceLab/py-orthpol,Construct orhogonal polynomials using Python,268,16,13,4
330,ooflib,furstj,https://github.com/furstj/ooflib,Object Oriented Fortran Library,820,16,2,0
331,cism,CISM,https://github.com/CISM/cism,Public repository for source code of higher-order Community Ice Sheet Model,14745,16,8,0
332,fortran_notes,zmiimz,https://github.com/zmiimz/fortran_notes,simple and hopefully useful snippets in modern fortran,5353,16,3,0
333,CDFTOOLS,meom-group,https://github.com/meom-group/CDFTOOLS,A fortran package for analysis and diagnostics on NEMO ocean model output.,4085,16,18,13
334,DSMACC,barronh,https://github.com/barronh/DSMACC,Dynamically Simple Model of Atmospheric Chemical Complexity,5269,16,5,2
335,PowellOpt,jacobwilliams,https://github.com/jacobwilliams/PowellOpt,Optimization algorithms by M.J.D. Powell,768,16,4,0
336,COSPv2.0,CFMIP,https://github.com/CFMIP/COSPv2.0,COSP - The CFMIP (Cloud Feedbacks Model Intercomparison Project) Observation Simulator Package,17005,16,18,11
337,fortran_tester,pdebuyl,https://github.com/pdebuyl/fortran_tester,Fortran module to test Fortran programs,268,16,6,1
338,gp-parallel-ts,kirthevasank,https://github.com/kirthevasank/gp-parallel-ts,Parallelised Thompson Sampling in GPs for Bayesian Optimisation,155,16,6,0
339,AFiD_GPU_opensource,PhysicsofFluids,https://github.com/PhysicsofFluids/AFiD_GPU_opensource,Version of the AFiD code ported to GPU accelerators,129,16,7,0
340,f2py-sockets,b-fg,https://github.com/b-fg/f2py-sockets,Example on how to use sockets to transfer data from Fortran to Python and viceversa,40,16,0,0
341,fortran,exercism,https://github.com/exercism/fortran,Exercism exercises in Fortran.,135,16,10,7
342,User_Codes,fasrc,https://github.com/fasrc/User_Codes,,20631,16,10,0
343,oorb,oorb,https://github.com/oorb/oorb,Automatically exported from code.google.com/p/oorb,1411,16,34,14
344,ds3_kernel_testing,karlnapf,https://github.com/karlnapf/ds3_kernel_testing,"Material for the practical of the DS3 course on ""Representing and comparing probabilities with kernels""",62296,16,13,1
345,GrowClust,dttrugman,https://github.com/dttrugman/GrowClust,,5133,16,8,0
346,PolyCon,cmacmackin,https://github.com/cmacmackin/PolyCon,Polymorphic container object for Fortran,647,16,0,1
347,GARD,NCAR,https://github.com/NCAR/GARD,Generalized Analog Regression Downscaling (GARD) code,542,16,12,19
348,splash,danieljprice,https://github.com/danieljprice/splash,,7503,16,9,13
349,CB-Fortran-Color-Theme,kookma,https://github.com/kookma/CB-Fortran-Color-Theme,Code Blocks color theme for Fortran language ,676,16,0,0
350,dop853,jacobwilliams,https://github.com/jacobwilliams/dop853,Modern Fortran Edition of Hairer's DOP853 ODE Solver,848,16,4,1
351,adjac,pv,https://github.com/pv/adjac,Automatic Differentiation (1st order) for Fortran 95,209,16,3,0
352,fortran-guidelines,ebranlard,https://github.com/ebranlard/fortran-guidelines,Guidelines for programming in fortran,454,16,2,0
353,gFTL,nasa,https://github.com/nasa/gFTL,,137,16,8,0
354,ZOO,szaghi,https://github.com/szaghi/ZOO,"ZOO, Zaghi fOrtran cOllection, where my wild Fortran pets will survive",387,16,2,1
355,UPIC-2.0,UCLA-Plasma-Simulation-Group,https://github.com/UCLA-Plasma-Simulation-Group/UPIC-2.0,Framework of trusted components for building and customizing parallel particle-in-cell codes for plasma simulation.,4033,16,14,0
356,LibForQ,jonasmaziero,https://github.com/jonasmaziero/LibForQ,A Fortran Library for Quantum Information Science,418,16,2,0
357,SeismicPackage,gitzhzhg,https://github.com/gitzhzhg/SeismicPackage,Open source seismic packages collected from varieties of websites,267528,15,12,0
358,fortran-error-handler,samharrison7,https://github.com/samharrison7/fortran-error-handler,"Comprehensive error framework for applications requiring functional and robust error handling, utilising the power of modern object-oriented Fortran.",326,15,0,1
359,zen-of-fortran-talk,szaghi,https://github.com/szaghi/zen-of-fortran-talk,"a path to discover Modern Fortran, a poor, informal talk for newbies Fortraners",1209,15,4,0
360,GR1D,evanoconnor,https://github.com/evanoconnor/GR1D,"General Relativistic, Spherically Symmetry, Neutrino Transport Code for Stellar Collapse",661,15,7,3
361,ddeabm,jacobwilliams,https://github.com/jacobwilliams/ddeabm,Modern Fortran implementation of the DDEABM Adams-Bashforth algorithm,2355,15,3,1
362,FUPRAL,RBCanelas,https://github.com/RBCanelas/FUPRAL,Fortran OO implementation of a generic container using an unlimited polymorphic class. Implementation of a resizable container array and a double linked list.,885,15,0,0
363,CROCO-NH,ducousso,https://github.com/ducousso/CROCO-NH,a non-hydrostatic incompressible ocean model based on CROCO,31060,15,4,0
364,L-BFGS-ocaml,Chris00,https://github.com/Chris00/L-BFGS-ocaml,OCaml bindings for L-BFGS,198,15,2,0
365,MeshTools,su2code,https://github.com/su2code/MeshTools,Mesh tools for SU2,1324,15,14,0
366,fortran-search-and-sort,jacobwilliams,https://github.com/jacobwilliams/fortran-search-and-sort,Searching and sorting with modern Fortran,13,15,1,0
367,libmbd,jhrmnn,https://github.com/jhrmnn/libmbd,Many-body dispersion library,3097,15,6,5
368,GEMINI,gemini3d,https://github.com/gemini3d/GEMINI,public repo for ionospheric fluid electrodynamic model,11544,15,4,1
369,example-fortran,codecov,https://github.com/codecov/example-fortran,Example repo for uploading reports to Codecov,45,15,7,0
370,EFDC-MPI,fearghalodonncha,https://github.com/fearghalodonncha/EFDC-MPI,MPI parallel version of the popular Environmental Fluid Dynamics Code (EFDC),29366,15,7,0
371,DIVA,gher-ulg,https://github.com/gher-ulg/DIVA,DIVA (Data-Interpolating Variational Analysis) is a software tool dedicated to the spatial interpolation of in situ data in oceanography.,39196,15,3,2
372,MUMPSjInv.jl,JuliaInv,https://github.com/JuliaInv/MUMPSjInv.jl,MUMPS interface for Julia,9486,15,15,9
373,unfold,unfoldtoolbox,https://github.com/unfoldtoolbox/unfold,A matlab EEG toolbox to perform overlap correction and non-linear & linear regression.,33522,15,3,30
374,KGen,NCAR,https://github.com/NCAR/KGen,Fortran Kernel Generator,11594,15,12,36
375,GHOST,pmininni,https://github.com/pmininni/GHOST,GHOST (the Geophysical High-Order Suite for Turbulence) is an accurate and highly scalable pseudospectral code that solves a variety of PDEs often encountered in studies of turbulent flows.,1498,15,6,0
376,BeFoR64,szaghi,https://github.com/szaghi/BeFoR64,"BeFoR64, Base64 encoding/decoding library for FoRtran poor men",1802,15,9,2
377,dqmc_demo,wanderxu,https://github.com/wanderxu/dqmc_demo,,301,15,5,0
378,WABBIT,adaptive-cfd,https://github.com/adaptive-cfd/WABBIT,Wavelet Adaptive Block-Based solver for Interactions with Turbulence,15659,15,14,17
379,nap,ryokbys,https://github.com/ryokbys/nap,Nagoya Atomistic-simulation Package (NAP). Why don't you take a NAP? ;),10747,15,2,0
380,2D_CARFIVE,dattv,https://github.com/dattv/2D_CARFIVE,2D Cartesian Quadtree Adaptive Mesh Refinement (AMR) for multiphase Five Equations Model ,46,15,9,0
381,workfunction,WMD-group,https://github.com/WMD-group/workfunction,Calculate the planar averaged electrostatic potential for the density functional theory code VASP (Version 5 compatible),30994,15,8,0
382,cpu_timer,jlokimlin,https://github.com/jlokimlin/cpu_timer,A computational tool to benchmark large-scale simulations.,85,15,1,1
383,fiona,dongli,https://github.com/dongli/fiona,Fortran IO Netcdf Assembly,87,15,3,0
384,PSU_WRF_EnKF,myying,https://github.com/myying/PSU_WRF_EnKF,,668,15,20,0
385,specfem3d_geotech,geodynamics,https://github.com/geodynamics/specfem3d_geotech,SPECFEM3D_GEOTECH is an open-source command-driven software for 3D slope stability analysis and simulation of 3D multistage excavation based on the spectral-element method.,19634,15,10,3
386,octree-mg,jannisteunissen,https://github.com/jannisteunissen/octree-mg,MPI geometric multigrid solver for quadtree/octree grids,642,14,3,0
387,tetran,fortran-gaming,https://github.com/fortran-gaming/tetran,"Falling-block object-oriented Fortran 2018 game, resizable playfield",1184,14,1,0
388,fosolvers,mianzhi,https://github.com/mianzhi/fosolvers,FOSolverS: a Suite of Free & Open Source Solvers. A brief overview: ,3699,14,4,3
389,fluxo,project-fluxo,https://github.com/project-fluxo/fluxo,Fluxo implements the DGSEM for general advection-diffusion equations,1106,14,8,0
390,glmnet,jeffwong,https://github.com/jeffwong/glmnet,R package glmnet for estimating lasso and elastic net,793,14,19,8
391,landslides-trigrs,usgs,https://github.com/usgs/landslides-trigrs,,286,14,14,2
392,romstools,trondkr,https://github.com/trondkr/romstools,A variety of tools for plotting and analysing output from the Regional Ocean Model (ROMS),11801,14,6,0
393,HPC-Phase_Field,Marsfish1981,https://github.com/Marsfish1981/HPC-Phase_Field,This is a software package for simulation of micro-structure evolution using phase field model,2381,14,6,0
394,MFC-Caltech,ComputationalFlowPhysics,https://github.com/ComputationalFlowPhysics/MFC-Caltech,High-fidelity multiphase flow simulation,21611,14,5,0
395,MiMA,mjucker,https://github.com/mjucker/MiMA,Model of an idealized Moist Atmosphere: Intermediate-complexity General Circulation Model with full radiation,16938,14,7,0
396,Hefei-NAMD,QijingZheng,https://github.com/QijingZheng/Hefei-NAMD, ab-initio nonadiabatic molecular dynamics program,1510,14,12,1
397,tetran,lewisjb,https://github.com/lewisjb/tetran,Tetris-style game written in FORTRAN-95,19,14,1,0
398,FARLib,Sbai7,https://github.com/Sbai7/FARLib,Fortran Array collection library,35,14,0,0
399,mpifx,dftbplus,https://github.com/dftbplus/mpifx,Modern Fortran wrappers around MPI routines,192,14,7,4
